longitude,latitude,YR,MO,X,Y,TOT,CR
-74.08610686,40.64074279,2014,2,960353,172728,1,RAPE
-73.79252032,40.70241411,2014,7,1041778,195253,1,ROBBERY
-73.88678394,40.82876793,2014,3,1015582,241240,1,FELONY ASSAULT
-73.85501418,40.87374282,2014,3,1024347,257639,1,FELONY ASSAULT
-73.91917176,40.83123249,2014,3,1006618,242128,1,FELONY ASSAULT
-73.88039388,40.87985964,2014,3,1017325,259857,2,FELONY ASSAULT
-73.89686248,40.82366947,2014,3,1012795,239379,1,ROBBERY
-73.86843216,40.68031247,2014,7,1020742,187160,1,ROBBERY
-73.87089397,40.82591594,2014,3,1019981,240207,1,FELONY ASSAULT
-73.98432176,40.64287372,2014,3,988601,173493,1,ROBBERY
-73.89064687,40.65057133,2014,3,1014594,176316,1,ROBBERY
-73.95916148,40.66901433,2014,2,995579,183019,1,FELONY ASSAULT
-73.92247878,40.6322181,2014,2,1005767,169620,2,FELONY ASSAULT
-73.90707623,40.6378335,2014,2,1010040,171670,1,FELONY ASSAULT
-73.76813471,40.69245618,2014,7,1048549,191642,2,FELONY ASSAULT
-73.89341769,40.64410722,2014,3,1013828,173960,1,FELONY ASSAULT
-73.91033692,40.65668728,2014,2,1009128,178538,1,FELONY ASSAULT
-73.96460418,40.71074213,2014,3,994063,198221,1,ROBBERY
-73.94719024,40.72792588,2014,3,998887,204484,1,FELONY ASSAULT
-73.99494481,40.63855713,2014,3,985653,171920,1,ROBBERY
-73.9089197,40.6625545,2014,7,1009519,180676,1,ROBBERY
-73.94004907,40.83733025,2014,3,1000839,244345,1,RAPE
-74.00575295,40.70764584,2014,3,982655,197091,1,ROBBERY
-73.94061832,40.68137146,2014,7,1000720,187524,1,ROBBERY
-73.98048538,40.78660526,2014,3,989654,225859,1,ROBBERY
-73.92030637,40.86446069,2014,3,1006293,254234,1,FELONY ASSAULT
-74.00365379,40.7083678,2014,3,983237,197354,1,RAPE
-73.93740549,40.8200591,2014,3,1001575,238053,1,RAPE
-73.8147799,40.68824513,2014,3,1035617,190077,1,FELONY ASSAULT
-73.98569458,40.74400764,2014,7,988214,210339,1,FELONY ASSAULT
-73.86116426,40.7562378,2014,3,1022714,214825,1,ROBBERY
-73.96180949,40.76608642,2014,3,994829,218385,1,RAPE
-73.94044141,40.83504411,2014,3,1000731,243512,1,RAPE
-73.95191181,40.7796527,2014,3,997568,223329,1,FELONY ASSAULT
-73.86488261,40.83425025,2014,7,1021640,243246,1,ROBBERY
-73.97517986,40.78863534,2014,3,991123,226599,1,FELONY ASSAULT
-73.90464265,40.70695598,2014,3,1010688,196854,1,FELONY ASSAULT
-73.86630273,40.86666141,2014,3,1021229,255054,1,MURDER
-73.88814253,40.86964343,2014,3,1015187,256132,1,FELONY ASSAULT
-73.89949417,40.87064196,2014,3,1012047,256492,1,FELONY ASSAULT
-73.89254371,40.86235769,2014,3,1013973,253476,1,RAPE
-73.9974982,40.57521832,2014,7,984945,148844,1,ROBBERY
